Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","52","Azerbaijan","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","2867","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","52","Azerbaijan","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1403","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","12","Bahamas","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1259.5","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","12","Bahamas","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","901.448","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","12","Bahamas","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","947.43","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","13","Bahrain","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","243.351064","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","13","Bahrain","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1426.06383","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","13","Bahrain","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1654.255319","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","16","Bangladesh","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","2332.72","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","16","Bangladesh","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","2151.56","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","16","Bangladesh","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","3613.3","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","14","Barbados","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","269.334927","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","14","Barbados","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","206.157363","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","14","Barbados","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","241.5965","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","57","Belarus","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1237.8","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","57","Belarus","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1278.5","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","57","Belarus","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1421","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","255","Belgium","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","59242.655686","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","255","Belgium","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","-708.306504","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","255","Belgium","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","30820.575078","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","23","Belize","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","43.9875","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","23","Belize","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","24.4945","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","23","Belize","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","118.275547","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","53","Benin","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","131.790684","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","53","Benin","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","200.902719","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","53","Benin","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","194.073683","X","International reliable sources","UNCTAD"
